sensor_id,Address,latitude,longitude
bkp77t,"แยกสวนสยาม-รามอินทรา แยกสวนสยาม-รามอินทรา เขตคันนายาว, กรุงเทพฯ",13.795419247967999,100.69124286750447
bkp82t,"แยกมไหศวรรย์ ริมถนนรัชดาภิเษก-ท่าพระ เขตธนบุรี, กรุงเทพฯ",13.704736544891368,100.48558000367392
bkp76t,"สำนักงานเขตบางกะปิ ริมถนนนวมินทร์ แยกบางกะปิ เขตบางกะปิ, กรุงเทพฯ",13.765886885978022,100.64737561536187
bkp75t,"สำนักงานเขตสายไหม ริมถนนสุขาภิบาล5 เขตสายไหม, กรุงเทพฯ",13.895195146067312,100.66050299634223
o26,"สถานีพัฒนาที่ดิน ต.บางโทรัด อ.เมือง, สมุทรสาคร",13.519591323823668,100.15046483681024
14t,"แขวงการทางสมุทรสาคร  ต.อ้อมน้อย อ.กระทุ่มแบน, สมุทรสาคร",13.703998715694668,100.32134216410884
18t,"ศาลากลางจังหวัดสมุทรปราการ  ต.ปากน้ำ อ.เมือง, สมุทรปราการ",13.599416486831805,100.59692008284632
17t,"บ้านพักกรมอุตสาหกรรมพื้นฐานและการเหมืองแร่ ต.ตลาด อ.พระประแดง, สมุทรปราการ",13.648659641923674,100.5307762804777
08t,"ศูนย์ฟื้นฟูอาชีพคนพิการและทุพลภาพ  ต.ทรงคนอง อ.พระประแดง, สมุทรปราการ",13.665194562173186,100.54325103866614
22t,"มหาวิทยาลัยสุโขทัยธรรมาธิราช  ต.บางพูด อ.ปากเกร็ด, นนทบุรี",13.911327786553608,100.53732006750623
13t,"กรมควบคุมโรค ต.ตลาดขวัญ อ.เมือง, นนทบุรี",13.853450382766201,100.52715302338615
20t,"มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต  ต.คลองหนึ่ง อ.คลองหลวง, ปทุมธานี",14.039504735515399,100.6153583551934
81t,"อ่างเก็บน้ำประปา ต.นครปฐม อ.เมือง, นครปฐม",13.829772364136586,100.05491405926934
o10,"เคหะชุมชนคลองจั่น แขวงคลองจั่น เขตบางกะปิ, กรุงเทพฯ",13.76810192780895,100.64996160983156
bkp98t,"สำนักงานเขตบางเขน ริมถนนพหลโยธิน เขตบางเขน, กรุงเทพฯ",13.873470413402885,100.59606616750565
bkp97t,"สำนักงานเขตหลักสี่ แขวงทุ่งสองห้อง เขตหลักสี่, กรุงเทพฯ",13.887518732233847,100.57891693866968
bkp99t,"สำนักงานเขตสะพานสูง เขตสะพานสูง, กรุงเทพฯ",13.76896298931156,100.68570409634027
bkp95t,"สำนักงานเขตบางซื่อ แขวงบางซื่อ เขตบางซื่อ, กรุงเทพฯ",13.809568506184542,100.53724074816866
bkp93t,"สำนักงานเขตห้วยขวาง เขตห้วยขวาง, กรุงเทพฯ",13.776634286786729,100.57933708964191
27t,"โรงเรียนสมุทรสาครวิทยาลัย ต.มหาชัย อ.เมือง, สมุทรสาคร",13.549425884571313,100.26486846379338
16t,"โรงไฟฟ้าพระนครใต้  ต.บางโปรง อ.เมือง, สมุทรปราการ",13.62095063472224,100.56055340534786
bkp96t,"สำนักงานเขตลาดพร้าว เขตลาดพร้าว, กรุงเทพฯ",13.803557481562201,100.60740542517706
bkp92t,"สำนักงานเขตพระนคร ริมถนนสามเสน เขตพระนคร, กรุงเทพฯ",13.764901789175257,100.49876535105072
bkp91t,"มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี ริมถนนประชาอุทิศ เขตทุ่งครุ, กรุงเทพฯ",13.651241761036,100.49643206750211
bkp89t,"ริมถนนมาเจริญ เพชรเกษม 8, เขตหนองแขม ริมถนนมาเจริญ เพชรเกษม 81 เขตหนองแขม, กรุงเทพฯ",13.694330346603143,100.34140629936455
bkp87t,"ตลาดธนบุรีสนามหลวง 2 ริมถนนคลองทวีวัฒนา เขตทวีวัฒนา, กรุงเทพฯ",13.746226529776683,100.35482478099493
bkp85t,"สถานีตำรวจรถไฟบางกอกน้อย ริมถนนซอยนิคมบ้านพักรถไฟธนบุรี 5 เขตบางกอกน้อย, กรุงเทพฯ",13.759902849476735,100.47799449634013
19t,"การเคหะชุมชนเมืองใหม่บางพลี  ต.บางเสาธง อ.บางเสาธง, สมุทรปราการ",13.559850157092113,100.76448468284565
o63,"กรมอุตุนิยมวิทยาบางนา แขวงบางนา เขตบางนา, กรุงเทพฯ",13.667797641007063,100.60533760837363
bkp90t,"ตลาดบางบอน 5 ริมถนนเอกชัย เขตบางบอน, กรุงเทพฯ",13.638496607861033,100.37226165215704
bkp88t,"มหาวิทยาลัยสยาม ริมถนนเพชรเกษม เขตภาษีเจริญ, กรุงเทพฯ",13.721312180636788,100.45334086825365
bkp86t,"ถนนพุทธมณฑลสาย 1 ตัดกับถนนบรมราชชนนี ริมถนนพุทธมณฑล 1 เขตตลิ่งชัน, กรุงเทพฯ",13.7813449269961,100.42638680713746
bkp94t,"สำนักงานเขตคลองเตย แขวงคลองเตย เขตคลองเตย, กรุงเทพฯ",13.708162113566486,100.58370619633924
bkp84t,"สี่แยกท่าพระ ริมถนนแยกท่าพระ เขตบางกอกใหญ่, กรุงเทพฯ",13.729275153591944,100.47335416750343
bkp83t,"ห้องสมุดใต้สะพานสมเด็จพระเจ้าตากสิน ริมถนนเจริญนคร เขตคลองสาน, กรุงเทพฯ",13.734761598205372,100.49796136860671
bkp63t,"แฟลตทหารบก สามเสน ริมถนนพระราม 6 เขตพญาไท, กรุงเทพฯ",13.782133536363506,100.53270850215934
